TYPE,DETAIL,NOM,SURFACE,ECLAIRAGE,OBJECTID,x,y
"Surface, anneau ou étang glacé",,,Poussière,,99,-8005578.116,5687189.371
Piste multifonctionnelle,,,,,100,-8006688.028,5684858.721
Planche à roulettes,,,,,101,-8006639.518,5685084.719
Préau et plancher de danse,,,,,102,-8006675.445,5685157.822
"Surface, anneau ou étang glacé",,,Gazon,,103,-8010662.354,5679063.057
Patinoire à bandes mobiles,,,Gazon,,104,-8010647.793,5679041.346
"Surface, anneau ou étang glacé",,,,,105,-8004360.808,5682807.997
Patinoire à bandes mobiles,,,Gazon,,106,-8004416.841,5682854.687
"Surface, anneau ou étang glacé",,,,,107,-8002822.284,5680665.962
Patinoire à bandes mobiles,,,Poussière,,108,-8000533.669,5683677.192
"Surface, anneau ou étang glacé",,,,,109,-8000056.071,5684971.784
Patinoire à bandes mobiles,,,,,110,-7998337.819,5685726.282
"Surface, anneau ou étang glacé",,,,,111,-7998368.072,5685785.392
"Surface, anneau ou étang glacé",,,Poussière,,112,-7999720.386,5687306.874
Patinoire à bandes mobiles,,,Poussière,,113,-7999646.824,5687292.737
"Surface, anneau ou étang glacé",,,,,114,-7999826.848,5688639.48
Patinoire à bandes mobiles,,,Poussière,,115,-7999866.213,5688621.97
Patinoire à bandes fixes,,,Asphalte,,116,-8001430.111,5688779.555
Patinoire à bandes mobiles,,,Gazon,,117,-8005601.268,5687068.355
Patinoire à bandes fixes,,,Asphalte,,118,-8005518.26,5687121.679
"Surface, anneau ou étang glacé",,,Poussière,,119,-8003172.869,5689606.092
Patinoire à bandes fixes,,,Poussière,,120,-8003134.65,5689605.199
"Surface, anneau ou étang glacé",,,Gazon,,121,-8005750.688,5692954.9
Patinoire à bandes mobiles,,,Poussière,,122,-8005747.774,5692929.516
Piste multifonctionnelle,,,,,123,-8008397.991,5695547.992
"Surface, anneau ou étang glacé",,,,,124,-8009223.601,5697987.76
"Surface, anneau ou étang glacé",,,Gazon,,125,-8001487.662,5688807.064
Patinoire à bandes mobiles,,,Gazon,,126,-8001055.532,5686730.869
Patinoire à bandes mobiles,,,Gazon,,127,-8001100.354,5686733.075
Patinoire à bandes mobiles,,,Gazon,,128,-8004434.898,5682800.771
"Surface, anneau ou étang glacé",,,,,129,-8013098.57,5681615.593
Patinoire à bandes fixes,,,Poussière,,130,-8012175.648,5682422.349
Planche à roulettes,,,,,131,-8016273.255,5683272.223
Patinoire à bandes mobiles,,,Poussière,,132,-8019562.12,5683650.693
"Surface, anneau ou étang glacé",,,,,133,-8019597.154,5683554.545
"Surface, anneau ou étang glacé",,,,,134,-8019456.474,5675966.312
"Surface, anneau ou étang glacé",,,,,135,-8004804.792,5684979.53
"Surface, anneau ou étang glacé",,,,,136,-7996475.713,5685902.483
"Surface, anneau ou étang glacé",,,,,137,-8008405.021,5695730.632
Patinoire à bandes fixes,,,Asphalte,,138,-8008471.116,5695746.607
Patinoire à bandes fixes,,,Asphalte,,139,-8015817.943,5684594.79
Jeu d'eau,,,,,140,-7999705.712,5687304.237
Patinoire à bandes mobiles,,,Poussière,,141,-8000045.4,5685016.047
Patinoire à bandes mobiles,,,Poussière,,142,-8019477.955,5676014.224
Jeu de fers,,,,,143,-8002634.874,5685769.455
Jeu de fers,,,,,144,-7999643.848,5687283.963
Jeu d'eau,,,,,145,-8000048.51,5685099.888
Pétanque,,,Poussière,,146,-8015046.566,5677737.842
Pétanque,,,Poussière,,147,-8015066.413,5677781.742
Patinoire à bandes mobiles,,,Poussière,,148,-8009206.84,5697940.994
Patinoire à bandes fixes,,,Asphalte,,149,-7996482.388,5685762.29
"Surface, anneau ou étang glacé",,,Poussière,,150,-8001112.775,5686836.955
"Surface, anneau ou étang glacé",,,Gazon,,151,-8003172.196,5683904.132
Patinoire à bandes fixes,,,Asphalte,,152,-8007570.25,5682904.294
"Surface, anneau ou étang glacé",,,Poussière,,153,-8007571.262,5682840.117
"Surface, anneau ou étang glacé",,,,,154,-8000500.277,5683678.814
Jeu d'eau,,,,,155,-8002557.366,5687006.658
Patinoire à bandes fixes,,,Asphalte,,156,-8002827.92,5680710.176
Préau et plancher de danse,,,,,157,-8010266.919,5686736.423
Pétanque,,,Poussière,,158,-8015914.208,5684575.165
Patinoire à bandes mobiles,,,Poussière,,159,-7998712.412,5681061.204
"Surface, anneau ou étang glacé",,,,,160,-7998747.426,5681069.694
Jeu modulaire,2-5 ans,,,,161,-8007988.863,5687032.779
Jeu modulaire,5-12 ans,,,,162,-8007984.312,5687046.641
Jeu modulaire,2-5 ans,,,,163,-7999727.035,5688557.749
Jeu modulaire,2-12 ans,,,,164,-8009289.347,5686484.574
Jeu modulaire,5-12 ans,,,,165,-7999713.749,5688564.115
Jeu modulaire,2-5 ans,,,,166,-8000166.7,5682986.745
Jeu modulaire,2-5 ans,,,,167,-8000740.586,5685667.073
Jeu modulaire,5-12 ans,,,,168,-8000746.321,5685686.228
Jeu modulaire,5-12 ans,,,,169,-8005763.196,5683830.974
Jeu modulaire,5-12 ans,,,,170,-8014743.334,5677569.231
Jeu modulaire,5-12 ans,,,,171,-8014192.049,5678775.205
Jeu modulaire,2-5 ans,,,,172,-8014157.712,5678777.893
Jeu modulaire,2-5 ans,,,,173,-8003712.373,5681345.499
Jeu modulaire,2-5 ans,,,,174,-8006930.531,5683839.238
Jeu modulaire,5-12 ans,,,,175,-8005508.999,5682685.407
Jeu modulaire,2-5 ans,,,,176,-8008802.891,5679344.641
Jeu modulaire,2-5 ans,,,,177,-8001518.643,5688850.763
Jeu modulaire,5-12 ans,,,,178,-8008786.418,5679322.303
Jeu modulaire,5-12 ans,,,,179,-8003135.671,5684193.433
Jeu modulaire,2-5 ans,,,,180,-8003160.148,5684201.083
Jeu modulaire,2-5 ans,,,,181,-8002786.171,5684440.133
Jeu modulaire,2-12 ans,,,,182,-8007863.435,5685943.437
Jeu modulaire,5-12 ans,,,,183,-8001458.449,5687242.808
Jeu modulaire,5-12 ans,,,,184,-8002857.431,5687178.998
Jeu modulaire,2-5 ans,,,,185,-8002721.444,5687037.112
Jeu modulaire,2-12 ans,,,,186,-7998062.858,5686775.716
Jeu modulaire,2-5 ans,,,,187,-7998336.313,5685171.373
Jeu modulaire,2-5 ans,,,,188,-7996527.194,5685723.328
Jeu modulaire,2-12 ans,,,,189,-7996546.988,5685849.096
Jeu modulaire,2-5 ans,,,,190,-7995688.446,5686788.62
Jeu modulaire,2-5 ans,,,,191,-7998536.127,5689609.742
Jeu modulaire,5-12 ans,,,,192,-7998533.468,5689591.086
Jeu modulaire,5-12 ans,,,,193,-8012990.12,5683379.062
Jeu modulaire,2-5 ans,,,,194,-8012969.177,5683390.145
Jeu modulaire,2-12 ans,,,,195,-7999765.576,5687350.007
Jeu modulaire,5-12 ans,,,,196,-8002982.352,5680667.998
Jeu modulaire,2-5 ans,,,,197,-8002965.087,5680613.786
Jeu modulaire,2-12 ans,,,,198,-8001637.027,5687989.863
Jeu modulaire,2-5 ans,,,,199,-8004430.051,5682671.824
Jeu modulaire,2-12 ans,,,,200,-8007442.198,5682807.454
Jeu modulaire,2-5 ans,,,,201,-8002521.121,5682335.733
Jeu modulaire,5-12 ans,,,,202,-8002537.708,5682318.316
Jeu modulaire,5-12 ans,,,,203,-8011997.411,5682376.108
Jeu modulaire,2-5 ans,,,,204,-8012038.331,5682386.337
Jeu modulaire,5-12 ans,,,,205,-8006989.323,5683849.009
Jeu modulaire,2-12 ans,,,,206,-8010187.311,5686670.334
Jeu modulaire,5-12 ans,,,,207,-8008513.94,5695707.918
Jeu modulaire,5-12 ans,,,,208,-8016346.052,5683363.045
Jeu modulaire,5-12 ans,,,,209,-8003345.831,5682874.929
Jeu modulaire,5-12 ans,,,,210,-8002204.216,5683378.285
Jeu modulaire,2-5 ans,,,,211,-8008863.688,5696194.069
Jeu modulaire,5-12 ans,,,,212,-8016321.939,5683390.501
Jeu modulaire,2-5 ans,,,,213,-8016330.533,5683403.827
Jeu modulaire,2-5 ans,,,,214,-7999473.497,5679863.586
Jeu modulaire,2-5 ans,,,,215,-7999465.906,5679872.336
Jeu modulaire,2-5 ans,,,,216,-7999463.889,5679867.86
Jeu modulaire,2-12 ans,,,,217,-7996845.364,5688321.512
Jeu modulaire,2-5 ans,,,,218,-8001564.915,5685008.053
Jeu modulaire,5-12 ans,,,,219,-8001544.208,5688878.047
Jeu modulaire,2-12 ans,,,,220,-8010637.831,5679129.766
Jeu modulaire,2-5 ans,,,,221,-8015873.697,5684528.308
Jeu modulaire,2-5 ans,,,,222,-8013769.383,5682821.587
Jeu modulaire,5-12 ans,,,,223,-8015828.071,5684512.926
Jeu modulaire,2-5 ans,,,,224,-8001468.683,5687253.854
Jeu modulaire,2-5 ans,,,,225,-8007115.08,5684307.606
Jeu modulaire,5-12 ans,,,,226,-8007120.873,5684311.083
