type,detail,nom,surface,eclairage,objectid,x,y
"surface, anneau ou étang glacé",,,,,137,-8008405.021,5695730.632
patinoire à bandes fixes,,,asphalte,,138,-8008471.116,5695746.607
patinoire à bandes fixes,,,asphalte,,139,-8015817.943,5684594.79
patinoire à bandes mobiles,,,poussière,,141,-8000045.4,5685016.047
patinoire à bandes mobiles,,,poussière,,142,-8019477.955,5676014.224
patinoire à bandes mobiles,,,poussière,,148,-8009206.84,5697940.994
patinoire à bandes fixes,,,asphalte,,149,-7996482.388,5685762.29
"surface, anneau ou étang glacé",,,poussière,,150,-8001112.775,5686836.955
"surface, anneau ou étang glacé",,,gazon,,151,-8003172.196,5683904.132
patinoire à bandes fixes,,,asphalte,,152,-8007570.25,5682904.294
"surface, anneau ou étang glacé",,,poussière,,153,-8007571.262,5682840.117
"surface, anneau ou étang glacé",,,,,154,-8000500.277,5683678.814
patinoire à bandes fixes,,,asphalte,,156,-8002827.92,5680710.176
patinoire à bandes mobiles,,,poussière,,159,-7998712.412,5681061.204
"surface, anneau ou étang glacé",,,,,160,-7998747.426,5681069.694
soccer,terrain à 11 avec 2 terrains à 7 intégrés,couturier 1,gazon naturel,non,280,-8001487.322,5688958.081
soccer,terrain à 7,andré-viger 1,gazon naturel,non,281,-8009363.35,5686466.115
soccer,terrain à 11 avec 2 terrains à 7 intégrés,saint-alphonse 1,gazon naturel,non,282,-8005623.613,5687188.396
soccer,terrain à 9 avec 2 terrains à 7 intégrés,atto-beaver 2,gazon naturel,oui,283,-7998734.548,5680867.972
soccer,terrain à 11 avec 2 terrains à 7 intégrés,central 1,gazon naturel,non,284,-8014855.058,5677757.984
soccer,terrain à 11 avec 2 terrains à 7 intégrés,nault 1,gazon naturel,oui,285,-8008396.793,5695646.758
soccer,terrain à 11 avec 3 terrains à 7 intégrés,central 3,gazon naturel,oui,286,-8015297.449,5677558.828
soccer,,école de la montée - pavillon le ber,gazon naturel,,287,-8000081.978,5686149.444
soccer,terrain à 9,debonair 2,gazon naturel,non,288,-8003052.986,5689603.766
soccer,,atto-beaver 3,gazon naturel,non,289,-7998679.738,5680971.669
soccer,terrain à 11 avec 2 terrains à 7 intégrés,butte-aux-bouleaux 1,gazon naturel,non,290,-8021070.455,5680170.23
soccer,terrain à 11,séminaire salésien,gazon naturel,non,291,-8009622.447,5684512.555
soccer,terrain à 11,bureau 1,gazon naturel,oui,292,-8000656.493,5683657.438
soccer,terrain à 11 avec 2 terrains à 7 intégrés,olympique 3,gazon naturel,oui,293,-8002251.743,5686966.331
soccer,6 terrains à 5,base de plein air andré-nadeau 1,gazon naturel,non,294,-8014045.084,5673990.849
soccer,terrain à 7,saint-alphonse 2b,gazon naturel,oui,295,-8005405.376,5687092.208
soccer,terrain à 11,belvédère 1,gazon naturel,oui,296,-8002909.219,5680506.348
soccer,,jardins-fleuris 1,gazon naturel,non,297,-7999641.853,5687203.99
soccer,terrain à 7,marie-reine 1,gazon naturel,non,298,-8000250.605,5682985.532
soccer,,bishop's college school gillards,,,299,-7997148.668,5680269.714
soccer,,université de sherbrooke stade d'athlétisme,,,300,-8007288.969,5680703.271
soccer,,université de sherbrooke nouveau concorde,,,301,-8007834.955,5681097.729
soccer,,université de sherbrooke synthétique,,,302,-8007685.706,5680808.286
soccer,,bishop's college school grant,,,303,-7997994.734,5679998.999
soccer,,école du phare,,,304,-8002420.749,5681435.824
soccer,terrain à 7,andré-viger 2,gazon naturel,non,305,-8009377.712,5686401.886
soccer,terrain à 11,arsène-goyette 1,gazon naturel,non,306,-8002519.266,5682223.522
soccer,terrain à 9,atto-beaver 1,gazon naturel,non,307,-7998617.688,5680834.998
soccer,,école le triolet synthétique,,,308,-8009399.178,5681403.627
soccer,terrain à 11 avec 4 terrains à 7 intégrés,central 2 synthétique,gazon synthétique,oui,309,-8015230.228,5677702.747
soccer,terrain à 9 avec 2 terrains à 7 intégrés,debonair 1,gazon naturel,oui,310,-8003330.33,5689578.474
soccer,4 terrains à 5,debonair 3,gazon naturel,non,311,-8003446.875,5689587.862
soccer,terrain à 7,ernest-bergeron 2,gazon naturel,non,312,-8009371.376,5698114.314
soccer,terrain à 9 avec 2 terrains à 7 intégrés,ernest-bergeron 1,gazon naturel,non,313,-8009307.945,5698054.562
soccer,terrain à 7,jacques-cartier 2,gazon naturel,non,314,-8005887.17,5683972.055
soccer,,optimist 1,,,315,-7998499.427,5679466.546
soccer,terrain à 11 avec 2 terrains à 7 intégrés,jean-claude-quirion 1,gazon naturel,non,316,-8000343.778,5684795.152
soccer,terrain à 9,jules-richard 1,gazon naturel,oui,317,-8019393.26,5675973.37
