OBJECTID,ID,INDEX_PARC,NOM,ARROND,TYPE
3123,004-0306,2469-000,Aire de jeu  5 à 12 ans,LaSalle,Aire de jeu - enfant
3124,069-0002,9543-000,Sentier de raquette,Pierrefonds-Roxboro,Plein air
3125,042-0011,2826-000,Jeux d'eau,Saint-Laurent,Récréatif
3126,076-0102,0699-000,Soccer à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
3127,065-0014,0348-000,Patinoire 4 saisons,Le Sud-Ouest,Récréatif
3128,055-0075,2856-000,Piscine extérieure,Saint-Léonard,Récréatif
3129,018-0053,1147-000,Basketball,Villeray-Saint-Michel-Parc-Extension,Récréatif
3130,056-0002,3806-000,Piste cyclable,Saint-Laurent,Plein air
3131,042-0065,0157-000,Jeux d'eau,Côte-des-Neiges-Notre-Dame-de-Grâce,Récréatif
3132,004-0222,2714-000,Aire de jeu  5 à 12 ans,Pierrefonds-Roxboro,Aire de jeu - enfant
3133,074-0027, ,Soccer / Football,Mercier-Hochelaga-Maisonneuve,Sportif
3134,042-0072,2893-000,Jeux d'eau,Verdun,Récréatif
3135,050-0010,0224-000,Pataugeoire,Le Plateau-Mont-Royal,Récréatif
3136,050-0060,0345-000,Pataugeoire,Le Sud-Ouest,Récréatif
3137,005-0012,0408-000,Aire de jeu combiné,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
3138,052-0120,0115-000,Patinoire avec bandes,Mercier-Hochelaga-Maisonneuve,Récréatif
3139,016-0048,0212-000,Balle,Rosemont-La Petite-Patrie,Sportif
3140,071-0047,2890-000,Sentier pédestre,Verdun,Plein air
3141,001-0013,2446-000,Abri soleil,LaSalle,Plein air
3142,052-0132,2856-000,Patinoire avec bandes,Saint-Léonard,Récréatif
3143,003-0451,0482-000,Aire de jeu 18 mois à 5 ans,Mercier-Hochelaga-Maisonneuve,Aire de jeu - enfant
3144,075-0001,2812-000,Soccer à 4-5,Saint-Laurent,Sportif
3145,070-0022,9503-000,Sentier de ski de fond,Pierrefonds-Roxboro,Plein air
3146,050-0049,0146-000,Pataugeoire,Côte-des-Neiges-Notre-Dame-de-Grâce,Récréatif
3147,004-0358,0974-000,Aire de jeu  5 à 12 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
3148,058-0007,2698-000,Piste d'athlétisme (400m) et équipements,Pierrefonds-Roxboro,Sportif
3149,042-0018,0337-000,Jeux d'eau,Le Plateau-Mont-Royal,Récréatif
